Name, Original, Optimized
whetstone, 1.19, 1.11
whetstone, 1.19, 1.1
whetstone, 1.18, 1.12
whetstone, 1.19, 1.11
whetstone, 1.2, 1.11
matmul_f64_4x4, 2.84, 2.76
matmul_f64_4x4, 2.79, 2.82
matmul_f64_4x4, 2.82, 2.77
matmul_f64_4x4, 2.9, 2.7
matmul_f64_4x4, 2.84, 2.8
revertBits, 0.26, 0.25
revertBits, 0.24, 0.23
revertBits, 0.24, 0.22
revertBits, 0.24, 0.22
revertBits, 0.24, 0.22
mandel, 0.28, 0.42
mandel, 0.27, 0.43
mandel, 0.28, 0.43
mandel, 0.28, 0.42
mandel, 0.28, 0.42
evalloop, 0.47, 0.31
evalloop, 0.47, 0.32
evalloop, 0.48, 0.32
evalloop, 0.47, 0.32
evalloop, 0.47, 0.31
ReedSolomon, 5.23, 5.17
ReedSolomon, 5.19, 5.18
ReedSolomon, 5.13, 5.14
ReedSolomon, 5.15, 5.16
ReedSolomon, 5.16, 5.12
lowercase, 22.91, 16.27
lowercase, 23.19, 16.13
lowercase, 23.09, 16.18
lowercase, 23.1, 16.26
lowercase, 23.05, 16.17
pi, 0.78, 0.76
pi, 0.75, 0.72
pi, 0.73, 0.74
pi, 0.78, 0.77
pi, 0.8, 0.74
mandel-2, 1.22, 1.03
mandel-2, 1.22, 1.05
mandel-2, 1.23, 1.09
mandel-2, 1.23, 1.05
mandel-2, 1.2, 1.06
perlin, 6.37, 4.81
perlin, 6.41, 4.85
perlin, 6.41, 4.83
perlin, 6.36, 4.82
perlin, 6.39, 4.82
ffbench, 0.71, 0.79
ffbench, 0.73, 0.71
ffbench, 0.73, 0.75
ffbench, 0.72, 0.75
ffbench, 0.77, 0.75
himenobmtxpa, 3.09, 2.94
himenobmtxpa, 3.04, 3.09
himenobmtxpa, 2.94, 2.99
himenobmtxpa, 3.0, 3.0
himenobmtxpa, 2.93, 2.94
fp-convert, 4.31, 4.29
fp-convert, 4.37, 4.33
fp-convert, 4.33, 4.3
fp-convert, 4.33, 4.31
fp-convert, 4.34, 4.3
fbench, 0.85, 0.77
fbench, 0.78, 0.77
fbench, 0.78, 0.77
fbench, 0.78, 0.77
fbench, 0.78, 0.77
salsa20, 12.44, 12.67
salsa20, 12.61, 12.63
salsa20, 12.64, 12.8
salsa20, 12.69, 12.75
salsa20, 12.64, 12.71
dt, 0.4, 0.39
dt, 0.4, 0.39
dt, 0.39, 0.39
dt, 0.4, 0.42
dt, 0.41, 0.39
richards_benchmark, 0.97, 0.89
richards_benchmark, 1.01, 0.89
richards_benchmark, 1.04, 0.88
richards_benchmark, 1.01, 0.89
richards_benchmark, 1.03, 0.87
oourafft, 8.25, 8.19
oourafft, 8.19, 8.08
oourafft, 8.18, 8.13
oourafft, 8.05, 8.07
oourafft, 8.07, 7.97
