Name, Original, Optimized
whetstone, 1.17, 1.16
whetstone, 1.15, 1.16
whetstone, 1.16, 1.15
whetstone, 1.16, 1.2
whetstone, 1.17, 1.17
matmul_f64_4x4, 2.75, 2.79
matmul_f64_4x4, 2.77, 2.8
matmul_f64_4x4, 2.78, 2.84
matmul_f64_4x4, 2.83, 2.87
matmul_f64_4x4, 2.81, 2.84
revertBits, 0.25, 0.24
revertBits, 0.24, 0.24
revertBits, 0.24, 0.25
revertBits, 0.25, 0.24
revertBits, 0.24, 0.24
mandel, 0.28, 0.28
mandel, 0.29, 0.28
mandel, 0.28, 0.28
mandel, 0.28, 0.28
mandel, 0.29, 0.29
evalloop, 0.49, 0.33
evalloop, 0.48, 0.32
evalloop, 0.49, 0.33
evalloop, 0.49, 0.32
evalloop, 0.49, 0.32
ReedSolomon, 5.14, 5.16
ReedSolomon, 5.19, 5.12
ReedSolomon, 5.15, 5.16
ReedSolomon, 5.09, 5.09
ReedSolomon, 5.1, 5.15
lowercase, 22.69, 22.79
lowercase, 22.84, 22.99
lowercase, 23.04, 22.99
lowercase, 23.06, 23.03
lowercase, 23.11, 22.99
pi, 0.75, 0.72
pi, 0.74, 0.75
pi, 0.78, 0.78
pi, 0.77, 0.74
pi, 0.78, 0.72
mandel-2, 1.21, 1.12
mandel-2, 1.23, 1.07
mandel-2, 1.21, 1.12
mandel-2, 1.23, 1.13
mandel-2, 1.2, 1.07
perlin, 6.31, 6.38
perlin, 6.4, 6.35
perlin, 6.34, 6.38
perlin, 6.49, 6.38
perlin, 6.33, 6.54
ffbench, 0.79, 0.78
ffbench, 0.79, 0.77
ffbench, 0.77, 0.78
ffbench, 0.78, 0.79
ffbench, 0.75, 0.73
himenobmtxpa, 3.05, 3.09
himenobmtxpa, 3.04, 3.06
himenobmtxpa, 2.94, 2.93
himenobmtxpa, 2.93, 2.96
himenobmtxpa, 2.94, 2.96
fp-convert, 4.25, 4.21
fp-convert, 4.24, 4.26
fp-convert, 4.24, 4.24
fp-convert, 4.27, 4.32
fp-convert, 4.23, 4.25
fbench, 0.84, 0.79
fbench, 0.8, 0.79
fbench, 0.82, 0.79
fbench, 0.79, 0.79
fbench, 0.79, 0.8
salsa20, 12.45, 12.51
salsa20, 12.51, 12.6
salsa20, 12.54, 12.54
salsa20, 12.56, 12.74
salsa20, 12.61, 12.58
dt, 0.42, 0.41
dt, 0.39, 0.4
dt, 0.4, 0.43
dt, 0.4, 0.4
dt, 0.42, 0.42
richards_benchmark, 1.04, 0.96
richards_benchmark, 1.04, 0.99
richards_benchmark, 1.0, 0.97
richards_benchmark, 1.03, 0.96
richards_benchmark, 1.03, 0.99
oourafft, 7.97, 8.14
oourafft, 8.03, 8.16
oourafft, 8.22, 8.17
oourafft, 8.09, 8.28
oourafft, 8.21, 8.13
