Name, Original, Optimized
whetstone, 1.18, 1.18
whetstone, 1.18, 1.19
whetstone, 1.18, 1.18
whetstone, 1.18, 1.18
whetstone, 1.18, 1.19
matmul_f64_4x4, 2.82, 2.79
matmul_f64_4x4, 2.83, 2.84
matmul_f64_4x4, 2.83, 2.82
matmul_f64_4x4, 2.9, 2.82
matmul_f64_4x4, 2.88, 2.8
revertBits, 0.24, 0.24
revertBits, 0.24, 0.24
revertBits, 0.24, 0.24
revertBits, 0.24, 0.24
revertBits, 0.24, 0.24
mandel, 0.28, 0.28
mandel, 0.28, 0.28
mandel, 0.28, 0.28
mandel, 0.28, 0.28
mandel, 0.28, 0.29
evalloop, 0.48, 0.32
evalloop, 0.49, 0.33
evalloop, 0.48, 0.31
evalloop, 0.48, 0.31
evalloop, 0.48, 0.32
ReedSolomon, 5.15, 5.21
ReedSolomon, 5.2, 5.18
ReedSolomon, 5.17, 5.21
ReedSolomon, 5.14, 5.16
ReedSolomon, 5.15, 5.13
lowercase, 22.82, 22.96
lowercase, 23.0, 23.04
lowercase, 23.23, 22.99
lowercase, 23.14, 23.03
lowercase, 23.02, 22.94
pi, 0.75, 0.78
pi, 0.74, 0.74
pi, 0.74, 0.75
pi, 0.78, 0.8
pi, 0.78, 0.77
mandel-2, 1.26, 1.13
mandel-2, 1.24, 1.07
mandel-2, 1.23, 1.08
mandel-2, 1.24, 1.12
mandel-2, 1.21, 1.12
perlin, 6.36, 6.46
perlin, 6.29, 6.33
perlin, 6.62, 6.78
perlin, 6.28, 6.41
perlin, 6.39, 6.33
ffbench, 0.75, 0.77
ffbench, 0.77, 0.75
ffbench, 0.74, 0.77
ffbench, 0.73, 0.74
ffbench, 0.75, 0.75
himenobmtxpa, 2.99, 2.97
himenobmtxpa, 3.12, 3.21
himenobmtxpa, 2.97, 2.94
himenobmtxpa, 3.02, 3.04
himenobmtxpa, 2.94, 2.95
fp-convert, 4.32, 4.22
fp-convert, 4.34, 4.28
fp-convert, 4.21, 4.26
fp-convert, 4.28, 4.31
fp-convert, 4.33, 4.33
fbench, 0.78, 0.78
fbench, 0.78, 0.79
fbench, 0.79, 0.81
fbench, 0.8, 0.78
fbench, 0.78, 0.78
salsa20, 12.57, 12.61
salsa20, 12.5, 12.53
salsa20, 12.54, 12.59
salsa20, 12.71, 12.61
salsa20, 12.69, 12.67
dt, 0.4, 0.4
dt, 0.39, 0.42
dt, 0.4, 0.4
dt, 0.42, 0.42
dt, 0.4, 0.4
richards_benchmark, 1.01, 0.99
richards_benchmark, 1.04, 0.98
richards_benchmark, 1.01, 0.99
richards_benchmark, 1.02, 0.97
richards_benchmark, 1.02, 0.98
oourafft, 8.15, 8.0
oourafft, 8.12, 8.1
oourafft, 8.04, 8.06
oourafft, 8.06, 7.99
oourafft, 8.08, 8.02
