Name, Original, Optimized
whetstone, 1.19, 1.11
whetstone, 1.18, 1.11
whetstone, 1.17, 1.11
whetstone, 1.17, 1.12
whetstone, 1.17, 1.11
matmul_f64_4x4, 2.76, 2.73
matmul_f64_4x4, 2.89, 2.7
matmul_f64_4x4, 2.85, 2.73
matmul_f64_4x4, 2.87, 2.77
matmul_f64_4x4, 2.88, 2.7
revertBits, 0.24, 0.23
revertBits, 0.23, 0.22
revertBits, 0.24, 0.23
revertBits, 0.24, 0.22
revertBits, 0.24, 0.22
mandel, 0.28, 0.43
mandel, 0.28, 0.43
mandel, 0.28, 0.43
mandel, 0.28, 0.43
mandel, 0.28, 0.43
evalloop, 0.48, 0.32
evalloop, 0.5, 0.32
evalloop, 0.48, 0.32
evalloop, 0.48, 0.31
evalloop, 0.48, 0.32
ReedSolomon, 5.19, 5.15
ReedSolomon, 5.19, 5.15
ReedSolomon, 5.17, 5.18
ReedSolomon, 5.15, 5.08
ReedSolomon, 5.18, 5.09
lowercase, 22.86, 22.75
lowercase, 23.17, 22.88
lowercase, 23.05, 22.65
lowercase, 23.13, 22.95
lowercase, 23.09, 22.72
pi, 0.72, 0.73
pi, 0.74, 0.72
pi, 0.73, 0.73
pi, 0.77, 0.75
pi, 0.79, 0.72
mandel-2, 1.21, 1.05
mandel-2, 1.23, 1.05
mandel-2, 1.21, 1.04
mandel-2, 1.23, 1.06
mandel-2, 1.2, 1.03
perlin, 6.39, 4.78
perlin, 6.32, 4.81
perlin, 6.39, 4.84
perlin, 6.32, 4.95
perlin, 6.4, 4.8
ffbench, 0.73, 0.73
ffbench, 0.78, 0.71
ffbench, 0.71, 0.72
ffbench, 0.78, 0.72
ffbench, 0.74, 0.72
himenobmtxpa, 3.02, 3.03
himenobmtxpa, 3.03, 3.02
himenobmtxpa, 3.01, 3.02
himenobmtxpa, 2.99, 3.08
himenobmtxpa, 3.07, 2.96
fp-convert, 4.36, 4.35
fp-convert, 4.27, 4.36
fp-convert, 4.4, 4.23
fp-convert, 4.34, 4.4
fp-convert, 4.34, 4.29
fbench, 0.78, 0.77
fbench, 0.78, 0.77
fbench, 0.8, 0.78
fbench, 0.78, 0.77
fbench, 0.78, 0.77
salsa20, 12.56, 12.53
salsa20, 12.59, 12.65
salsa20, 12.51, 12.67
salsa20, 12.62, 12.62
salsa20, 12.54, 12.69
dt, 0.4, 0.39
dt, 0.42, 0.42
dt, 0.39, 0.41
dt, 0.4, 0.4
dt, 0.4, 0.4
richards_benchmark, 1.04, 0.86
richards_benchmark, 1.0, 0.91
richards_benchmark, 1.01, 0.89
richards_benchmark, 1.07, 0.87
richards_benchmark, 0.98, 0.88
oourafft, 8.14, 8.08
oourafft, 8.12, 8.0
oourafft, 8.12, 7.99
oourafft, 8.08, 8.09
oourafft, 8.21, 8.06
