Name, Original, Optimized
whetstone, 1.18, 1.19
whetstone, 1.17, 1.18
whetstone, 1.21, 1.17
whetstone, 1.17, 1.2
whetstone, 1.18, 1.19
matmul_f64_4x4, 2.79, 2.82
matmul_f64_4x4, 2.79, 2.8
matmul_f64_4x4, 2.84, 2.82
matmul_f64_4x4, 2.87, 2.87
matmul_f64_4x4, 2.89, 2.81
revertBits, 0.24, 0.24
revertBits, 0.24, 0.24
revertBits, 0.24, 0.24
revertBits, 0.25, 0.24
revertBits, 0.24, 0.24
mandel, 0.29, 0.3
mandel, 0.3, 0.28
mandel, 0.29, 0.28
mandel, 0.28, 0.28
mandel, 0.28, 0.28
evalloop, 0.48, 0.32
evalloop, 0.49, 0.32
evalloop, 0.48, 0.32
evalloop, 0.47, 0.32
evalloop, 0.48, 0.31
ReedSolomon, 5.16, 5.18
ReedSolomon, 5.23, 5.2
ReedSolomon, 5.13, 5.2
ReedSolomon, 5.13, 5.18
ReedSolomon, 5.18, 5.16
lowercase, 22.68, 22.78
lowercase, 22.87, 23.12
lowercase, 23.09, 23.05
lowercase, 23.02, 22.96
lowercase, 22.8, 23.04
pi, 0.78, 0.72
pi, 0.78, 0.76
pi, 0.73, 0.74
pi, 0.78, 0.76
pi, 0.75, 0.77
mandel-2, 1.21, 1.11
mandel-2, 1.19, 1.08
mandel-2, 1.23, 1.12
mandel-2, 1.23, 1.12
mandel-2, 1.21, 1.08
perlin, 6.34, 6.34
perlin, 6.42, 6.35
perlin, 6.3, 6.38
perlin, 6.36, 6.4
perlin, 6.36, 6.38
ffbench, 0.75, 0.73
ffbench, 0.74, 0.76
ffbench, 0.73, 0.74
ffbench, 0.77, 0.71
ffbench, 0.72, 0.72
himenobmtxpa, 2.99, 3.01
himenobmtxpa, 2.93, 3.01
himenobmtxpa, 2.97, 3.01
himenobmtxpa, 2.91, 2.91
himenobmtxpa, 3.04, 2.92
fp-convert, 4.27, 4.29
fp-convert, 4.27, 4.35
fp-convert, 4.34, 4.28
fp-convert, 4.35, 4.42
fp-convert, 4.26, 4.4
fbench, 0.84, 0.78
fbench, 0.78, 0.78
fbench, 0.78, 0.79
fbench, 0.84, 0.78
fbench, 0.78, 0.78
salsa20, 12.62, 12.57
salsa20, 12.58, 12.67
salsa20, 12.55, 12.63
salsa20, 12.61, 12.69
salsa20, 12.69, 12.68
dt, 0.39, 0.4
dt, 0.4, 0.42
dt, 0.41, 0.4
dt, 0.42, 0.4
dt, 0.39, 0.4
richards_benchmark, 1.01, 0.98
richards_benchmark, 1.02, 0.96
richards_benchmark, 1.02, 0.95
richards_benchmark, 1.02, 1.0
richards_benchmark, 1.01, 0.94
oourafft, 8.1, 8.12
oourafft, 8.06, 8.2
oourafft, 8.0, 8.13
oourafft, 8.17, 7.96
oourafft, 8.16, 8.05
