Name, Original, Optimized
whetstone, 1.18, 1.11
whetstone, 1.18, 1.11
whetstone, 1.17, 1.12
whetstone, 1.16, 1.14
whetstone, 1.17, 1.12
matmul_f64_4x4, 2.8, 2.79
matmul_f64_4x4, 2.88, 2.85
matmul_f64_4x4, 2.81, 2.81
matmul_f64_4x4, 2.85, 2.82
matmul_f64_4x4, 2.93, 2.81
revertBits, 0.24, 0.23
revertBits, 0.24, 0.23
revertBits, 0.24, 0.22
revertBits, 0.24, 0.23
revertBits, 0.24, 0.22
mandel, 0.28, 0.26
mandel, 0.28, 0.27
mandel, 0.3, 0.27
mandel, 0.28, 0.26
mandel, 0.28, 0.27
evalloop, 0.47, 0.32
evalloop, 0.47, 0.32
evalloop, 0.49, 0.32
evalloop, 0.47, 0.33
evalloop, 0.48, 0.32
ReedSolomon, 5.15, 5.16
ReedSolomon, 5.15, 5.19
ReedSolomon, 5.13, 5.2
ReedSolomon, 5.16, 5.18
ReedSolomon, 5.19, 5.16
lowercase, 22.91, 16.14
lowercase, 22.97, 16.14
lowercase, 23.16, 16.25
lowercase, 22.93, 16.12
lowercase, 22.98, 16.23
pi, 0.73, 0.73
pi, 0.75, 0.76
pi, 0.74, 0.71
pi, 0.74, 0.75
pi, 0.76, 0.76
mandel-2, 1.19, 1.05
mandel-2, 1.23, 1.09
mandel-2, 1.19, 1.02
mandel-2, 1.22, 1.08
mandel-2, 1.23, 1.08
perlin, 6.33, 4.87
perlin, 6.32, 4.89
perlin, 6.36, 4.84
perlin, 6.35, 4.86
perlin, 6.37, 4.96
ffbench, 0.78, 0.73
ffbench, 0.72, 0.75
ffbench, 0.8, 0.72
ffbench, 0.73, 0.74
ffbench, 0.75, 0.8
himenobmtxpa, 2.94, 3.02
himenobmtxpa, 2.95, 3.05
himenobmtxpa, 2.96, 2.92
himenobmtxpa, 3.0, 2.96
himenobmtxpa, 2.91, 2.91
fp-convert, 4.25, 4.27
fp-convert, 4.26, 4.27
fp-convert, 4.32, 4.23
fp-convert, 4.32, 4.3
fp-convert, 4.31, 4.28
fbench, 0.8, 0.79
fbench, 0.82, 0.79
fbench, 0.78, 0.82
fbench, 0.84, 0.78
fbench, 0.78, 0.79
salsa20, 12.48, 12.39
salsa20, 12.47, 12.31
salsa20, 12.55, 12.34
salsa20, 12.72, 12.37
salsa20, 12.7, 12.42
dt, 0.42, 0.42
dt, 0.42, 0.4
dt, 0.42, 0.41
dt, 0.39, 0.4
dt, 0.42, 0.43
richards_benchmark, 1.0, 0.95
richards_benchmark, 1.04, 0.95
richards_benchmark, 1.02, 0.94
richards_benchmark, 1.01, 0.93
richards_benchmark, 1.04, 0.98
oourafft, 8.14, 8.12
oourafft, 8.1, 8.12
oourafft, 8.11, 8.12
oourafft, 8.08, 8.16
oourafft, 8.12, 8.35
