Name, Original, Optimized
whetstone, 1.23, 1.11
whetstone, 1.18, 1.1
whetstone, 1.18, 1.11
whetstone, 1.19, 1.1
whetstone, 1.17, 1.11
matmul_f64_4x4, 2.81, 2.8
matmul_f64_4x4, 2.81, 2.85
matmul_f64_4x4, 2.84, 2.84
matmul_f64_4x4, 2.88, 2.8
matmul_f64_4x4, 2.88, 2.79
revertBits, 0.24, 0.23
revertBits, 0.24, 0.23
revertBits, 0.24, 0.23
revertBits, 0.24, 0.22
revertBits, 0.24, 0.23
mandel, 0.31, 0.26
mandel, 0.28, 0.26
mandel, 0.28, 0.27
mandel, 0.28, 0.26
mandel, 0.28, 0.26
evalloop, 0.47, 0.31
evalloop, 0.47, 0.32
evalloop, 0.48, 0.32
evalloop, 0.48, 0.32
evalloop, 0.47, 0.32
ReedSolomon, 5.13, 5.15
ReedSolomon, 5.16, 5.22
ReedSolomon, 5.17, 5.18
ReedSolomon, 5.09, 5.19
ReedSolomon, 5.18, 5.25
lowercase, 22.86, 22.83
lowercase, 23.01, 22.72
lowercase, 22.98, 22.68
lowercase, 23.05, 22.66
lowercase, 23.1, 22.76
pi, 0.78, 0.75
pi, 0.73, 0.78
pi, 0.73, 0.72
pi, 0.76, 0.77
pi, 0.73, 0.75
mandel-2, 1.18, 1.11
mandel-2, 1.21, 1.05
mandel-2, 1.22, 1.03
mandel-2, 1.23, 1.09
mandel-2, 1.21, 1.03
perlin, 6.31, 4.83
perlin, 6.37, 4.84
perlin, 6.35, 4.86
perlin, 6.36, 4.88
perlin, 6.36, 4.98
ffbench, 0.73, 0.72
ffbench, 0.73, 0.79
ffbench, 0.79, 0.72
ffbench, 0.73, 0.76
ffbench, 0.72, 0.71
himenobmtxpa, 2.91, 2.93
himenobmtxpa, 2.99, 3.04
himenobmtxpa, 2.92, 3.03
himenobmtxpa, 3.0, 2.92
himenobmtxpa, 2.9, 3.01
fp-convert, 4.27, 4.22
fp-convert, 4.27, 4.33
fp-convert, 4.29, 4.33
fp-convert, 4.26, 4.38
fp-convert, 4.33, 4.29
fbench, 0.78, 0.82
fbench, 0.78, 0.78
fbench, 0.78, 0.78
fbench, 0.78, 0.78
fbench, 0.78, 0.78
salsa20, 12.45, 12.34
salsa20, 12.45, 12.2
salsa20, 12.71, 12.59
salsa20, 12.47, 12.25
salsa20, 12.57, 12.27
dt, 0.41, 0.4
dt, 0.4, 0.4
dt, 0.4, 0.4
dt, 0.4, 0.4
dt, 0.39, 0.41
richards_benchmark, 1.04, 0.94
richards_benchmark, 1.01, 0.92
richards_benchmark, 1.04, 0.93
richards_benchmark, 0.98, 0.94
richards_benchmark, 1.04, 0.93
oourafft, 8.1, 8.1
oourafft, 8.18, 8.13
oourafft, 7.97, 7.96
oourafft, 8.0, 8.12
oourafft, 8.09, 8.08
